Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
12/29/2019,01/04/2020,2020,1,HHS Region 4,0.0,13564.0
01/05/2020,01/11/2020,2020,2,HHS Region 4,0.0,13702.0
01/12/2020,01/18/2020,2020,3,HHS Region 4,0.0,13241.0
01/19/2020,01/25/2020,2020,4,HHS Region 4,,13211.0
01/26/2020,02/01/2020,2020,5,HHS Region 4,0.0,13286.0
02/02/2020,02/08/2020,2020,6,HHS Region 4,,13536.0
02/09/2020,02/15/2020,2020,7,HHS Region 4,,13166.0
02/16/2020,02/22/2020,2020,8,HHS Region 4,,13171.0
02/23/2020,02/29/2020,2020,9,HHS Region 4,,13449.0
03/01/2020,03/07/2020,2020,10,HHS Region 4,,13615.0
03/08/2020,03/14/2020,2020,11,HHS Region 4,,13484.0
03/15/2020,03/21/2020,2020,12,HHS Region 4,81.0,13242.0
03/22/2020,03/28/2020,2020,13,HHS Region 4,267.0,13323.0
03/29/2020,04/04/2020,2020,14,HHS Region 4,717.0,13978.0
04/05/2020,04/11/2020,2020,15,HHS Region 4,889.0,14010.0
04/12/2020,04/18/2020,2020,16,HHS Region 4,1031.0,13801.0
04/19/2020,04/25/2020,2020,17,HHS Region 4,1013.0,13958.0
04/26/2020,05/02/2020,2020,18,HHS Region 4,1038.0,13622.0
05/03/2020,05/09/2020,2020,19,HHS Region 4,1020.0,13835.0
05/10/2020,05/16/2020,2020,20,HHS Region 4,942.0,13774.0
05/17/2020,05/23/2020,2020,21,HHS Region 4,828.0,13689.0
05/24/2020,05/30/2020,2020,22,HHS Region 4,902.0,13246.0
05/31/2020,06/06/2020,2020,23,HHS Region 4,792.0,13270.0
06/07/2020,06/13/2020,2020,24,HHS Region 4,704.0,13197.0
06/14/2020,06/20/2020,2020,25,HHS Region 4,725.0,13458.0
06/21/2020,06/27/2020,2020,26,HHS Region 4,915.0,13690.0
06/28/2020,07/04/2020,2020,27,HHS Region 4,1152.0,14161.0
07/05/2020,07/11/2020,2020,28,HHS Region 4,1673.0,14925.0
07/12/2020,07/18/2020,2020,29,HHS Region 4,2335.0,15634.0
07/19/2020,07/25/2020,2020,30,HHS Region 4,2892.0,16189.0
07/26/2020,08/01/2020,2020,31,HHS Region 4,3131.0,16345.0
08/02/2020,08/08/2020,2020,32,HHS Region 4,3009.0,16142.0
08/09/2020,08/15/2020,2020,33,HHS Region 4,2698.0,16021.0
08/16/2020,08/22/2020,2020,34,HHS Region 4,2387.0,15585.0
08/23/2020,08/29/2020,2020,35,HHS Region 4,2127.0,15136.0
08/30/2020,09/05/2020,2020,36,HHS Region 4,1813.0,14742.0
09/06/2020,09/12/2020,2020,37,HHS Region 4,1616.0,14551.0
09/13/2020,09/19/2020,2020,38,HHS Region 4,1473.0,14501.0
09/20/2020,09/26/2020,2020,39,HHS Region 4,1414.0,14364.0
09/27/2020,10/03/2020,2020,40,HHS Region 4,1177.0,13971.0
10/04/2020,10/10/2020,2020,41,HHS Region 4,1282.0,14398.0
10/11/2020,10/17/2020,2020,42,HHS Region 4,1364.0,14210.0
10/18/2020,10/24/2020,2020,43,HHS Region 4,1385.0,14357.0
10/25/2020,10/31/2020,2020,44,HHS Region 4,1524.0,14413.0
11/01/2020,11/07/2020,2020,45,HHS Region 4,1628.0,14890.0
11/08/2020,11/14/2020,2020,46,HHS Region 4,1832.0,15026.0
11/15/2020,11/21/2020,2020,47,HHS Region 4,2042.0,15174.0
11/22/2020,11/28/2020,2020,48,HHS Region 4,2270.0,15508.0
11/29/2020,12/05/2020,2020,49,HHS Region 4,2739.0,16365.0
12/06/2020,12/12/2020,2020,50,HHS Region 4,3130.0,17125.0
12/13/2020,12/19/2020,2020,51,HHS Region 4,3488.0,17303.0
12/20/2020,12/26/2020,2020,52,HHS Region 4,3973.0,17932.0
12/27/2020,01/02/2021,2020,53,HHS Region 4,4566.0,19285.0
