Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
12/29/2019,01/04/2020,2020,1,HHS Region 8,0.0,1919.0
01/05/2020,01/11/2020,2020,2,HHS Region 8,0.0,1889.0
01/12/2020,01/18/2020,2020,3,HHS Region 8,0.0,1887.0
01/19/2020,01/25/2020,2020,4,HHS Region 8,0.0,1818.0
01/26/2020,02/01/2020,2020,5,HHS Region 8,0.0,1764.0
02/02/2020,02/08/2020,2020,6,HHS Region 8,0.0,1810.0
02/09/2020,02/15/2020,2020,7,HHS Region 8,0.0,1809.0
02/16/2020,02/22/2020,2020,8,HHS Region 8,0.0,1903.0
02/23/2020,02/29/2020,2020,9,HHS Region 8,0.0,1883.0
03/01/2020,03/07/2020,2020,10,HHS Region 8,0.0,1888.0
03/08/2020,03/14/2020,2020,11,HHS Region 8,,1839.0
03/15/2020,03/21/2020,2020,12,HHS Region 8,15.0,1941.0
03/22/2020,03/28/2020,2020,13,HHS Region 8,56.0,1817.0
03/29/2020,04/04/2020,2020,14,HHS Region 8,144.0,1954.0
04/05/2020,04/11/2020,2020,15,HHS Region 8,225.0,2085.0
04/12/2020,04/18/2020,2020,16,HHS Region 8,238.0,2071.0
04/19/2020,04/25/2020,2020,17,HHS Region 8,257.0,2052.0
04/26/2020,05/02/2020,2020,18,HHS Region 8,226.0,1945.0
05/03/2020,05/09/2020,2020,19,HHS Region 8,179.0,1826.0
05/10/2020,05/16/2020,2020,20,HHS Region 8,134.0,1862.0
05/17/2020,05/23/2020,2020,21,HHS Region 8,131.0,1779.0
05/24/2020,05/30/2020,2020,22,HHS Region 8,111.0,1750.0
05/31/2020,06/06/2020,2020,23,HHS Region 8,90.0,1781.0
06/07/2020,06/13/2020,2020,24,HHS Region 8,92.0,1791.0
06/14/2020,06/20/2020,2020,25,HHS Region 8,71.0,1852.0
06/21/2020,06/27/2020,2020,26,HHS Region 8,49.0,1795.0
06/28/2020,07/04/2020,2020,27,HHS Region 8,56.0,1735.0
07/05/2020,07/11/2020,2020,28,HHS Region 8,88.0,1781.0
07/12/2020,07/18/2020,2020,29,HHS Region 8,96.0,1780.0
07/19/2020,07/25/2020,2020,30,HHS Region 8,107.0,1850.0
07/26/2020,08/01/2020,2020,31,HHS Region 8,95.0,1795.0
08/02/2020,08/08/2020,2020,32,HHS Region 8,99.0,1893.0
08/09/2020,08/15/2020,2020,33,HHS Region 8,83.0,1845.0
08/16/2020,08/22/2020,2020,34,HHS Region 8,68.0,1884.0
08/23/2020,08/29/2020,2020,35,HHS Region 8,66.0,1762.0
08/30/2020,09/05/2020,2020,36,HHS Region 8,92.0,1785.0
09/06/2020,09/12/2020,2020,37,HHS Region 8,97.0,1853.0
09/13/2020,09/19/2020,2020,38,HHS Region 8,84.0,1826.0
09/20/2020,09/26/2020,2020,39,HHS Region 8,140.0,1928.0
09/27/2020,10/03/2020,2020,40,HHS Region 8,196.0,1885.0
10/04/2020,10/10/2020,2020,41,HHS Region 8,231.0,2037.0
10/11/2020,10/17/2020,2020,42,HHS Region 8,242.0,2043.0
10/18/2020,10/24/2020,2020,43,HHS Region 8,318.0,2137.0
10/25/2020,10/31/2020,2020,44,HHS Region 8,427.0,2244.0
11/01/2020,11/07/2020,2020,45,HHS Region 8,609.0,2481.0
11/08/2020,11/14/2020,2020,46,HHS Region 8,702.0,2509.0
11/15/2020,11/21/2020,2020,47,HHS Region 8,830.0,2696.0
11/22/2020,11/28/2020,2020,48,HHS Region 8,862.0,2680.0
11/29/2020,12/05/2020,2020,49,HHS Region 8,973.0,2693.0
12/06/2020,12/12/2020,2020,50,HHS Region 8,905.0,2716.0
12/13/2020,12/19/2020,2020,51,HHS Region 8,781.0,2551.0
12/20/2020,12/26/2020,2020,52,HHS Region 8,622.0,2387.0
12/27/2020,01/02/2021,2020,53,HHS Region 8,528.0,2324.0
