Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/03/2021,01/09/2021,2021,1,HHS Region 3,2423.0,8547.0
01/10/2021,01/16/2021,2021,2,HHS Region 3,2306.0,8514.0
01/17/2021,01/23/2021,2021,3,HHS Region 3,2227.0,8414.0
01/24/2021,01/30/2021,2021,4,HHS Region 3,1922.0,7957.0
01/31/2021,02/06/2021,2021,5,HHS Region 3,1568.0,7699.0
02/07/2021,02/13/2021,2021,6,HHS Region 3,1306.0,7304.0
02/14/2021,02/20/2021,2021,7,HHS Region 3,1023.0,6930.0
02/21/2021,02/27/2021,2021,8,HHS Region 3,824.0,6664.0
02/28/2021,03/06/2021,2021,9,HHS Region 3,609.0,6357.0
03/07/2021,03/13/2021,2021,10,HHS Region 3,574.0,6181.0
03/14/2021,03/20/2021,2021,11,HHS Region 3,513.0,6379.0
03/21/2021,03/27/2021,2021,12,HHS Region 3,474.0,6249.0
03/28/2021,04/03/2021,2021,13,HHS Region 3,498.0,5851.0
04/04/2021,04/10/2021,2021,14,HHS Region 3,581.0,6355.0
04/11/2021,04/17/2021,2021,15,HHS Region 3,622.0,6165.0
04/18/2021,04/24/2021,2021,16,HHS Region 3,644.0,6213.0
04/25/2021,05/01/2021,2021,17,HHS Region 3,560.0,6117.0
05/02/2021,05/08/2021,2021,18,HHS Region 3,521.0,6063.0
05/09/2021,05/15/2021,2021,19,HHS Region 3,438.0,6075.0
05/16/2021,05/22/2021,2021,20,HHS Region 3,400.0,5955.0
05/23/2021,05/29/2021,2021,21,HHS Region 3,310.0,5817.0
05/30/2021,06/05/2021,2021,22,HHS Region 3,246.0,5871.0
06/06/2021,06/12/2021,2021,23,HHS Region 3,196.0,5563.0
06/13/2021,06/19/2021,2021,24,HHS Region 3,165.0,5574.0
06/20/2021,06/26/2021,2021,25,HHS Region 3,132.0,5548.0
06/27/2021,07/03/2021,2021,26,HHS Region 3,91.0,5743.0
07/04/2021,07/10/2021,2021,27,HHS Region 3,90.0,5574.0
07/11/2021,07/17/2021,2021,28,HHS Region 3,94.0,5504.0
07/18/2021,07/24/2021,2021,29,HHS Region 3,90.0,5535.0
07/25/2021,07/31/2021,2021,30,HHS Region 3,138.0,5685.0
08/01/2021,08/07/2021,2021,31,HHS Region 3,199.0,5846.0
08/08/2021,08/14/2021,2021,32,HHS Region 3,257.0,6099.0
08/15/2021,08/21/2021,2021,33,HHS Region 3,397.0,6048.0
08/22/2021,08/28/2021,2021,34,HHS Region 3,557.0,6204.0
08/29/2021,09/04/2021,2021,35,HHS Region 3,698.0,6592.0
09/05/2021,09/11/2021,2021,36,HHS Region 3,806.0,6486.0
09/12/2021,09/18/2021,2021,37,HHS Region 3,967.0,6853.0
09/19/2021,09/25/2021,2021,38,HHS Region 3,1066.0,6874.0
09/26/2021,10/02/2021,2021,39,HHS Region 3,1108.0,7173.0
10/03/2021,10/09/2021,2021,40,HHS Region 3,1126.0,7173.0
10/10/2021,10/16/2021,2021,41,HHS Region 3,1069.0,6901.0
10/17/2021,10/23/2021,2021,42,HHS Region 3,1037.0,6853.0
10/24/2021,10/30/2021,2021,43,HHS Region 3,938.0,6922.0
10/31/2021,11/06/2021,2021,44,HHS Region 3,877.0,6844.0
11/07/2021,11/13/2021,2021,45,HHS Region 3,849.0,7126.0
11/14/2021,11/20/2021,2021,46,HHS Region 3,866.0,6855.0
11/21/2021,11/27/2021,2021,47,HHS Region 3,972.0,7114.0
11/28/2021,12/04/2021,2021,48,HHS Region 3,1092.0,7492.0
12/05/2021,12/11/2021,2021,49,HHS Region 3,1260.0,7647.0
12/12/2021,12/18/2021,2021,50,HHS Region 3,1366.0,7610.0
12/19/2021,12/25/2021,2021,51,HHS Region 3,1390.0,7617.0
12/26/2021,01/01/2022,2021,52,HHS Region 3,1553.0,7898.0
