Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/01/2023,01/07/2023,2023,1,HHS Region 9,514.0,9119.0
01/08/2023,01/14/2023,2023,2,HHS Region 9,442.0,8725.0
01/15/2023,01/21/2023,2023,3,HHS Region 9,327.0,8304.0
01/22/2023,01/28/2023,2023,4,HHS Region 9,305.0,8407.0
01/29/2023,02/04/2023,2023,5,HHS Region 9,237.0,8517.0
02/05/2023,02/11/2023,2023,6,HHS Region 9,227.0,8309.0
02/12/2023,02/18/2023,2023,7,HHS Region 9,221.0,8202.0
02/19/2023,02/25/2023,2023,8,HHS Region 9,240.0,8454.0
02/26/2023,03/04/2023,2023,9,HHS Region 9,258.0,8473.0
03/05/2023,03/11/2023,2023,10,HHS Region 9,250.0,8387.0
03/12/2023,03/18/2023,2023,11,HHS Region 9,210.0,8254.0
03/19/2023,03/25/2023,2023,12,HHS Region 9,181.0,7787.0
03/26/2023,04/01/2023,2023,13,HHS Region 9,175.0,7892.0
04/02/2023,04/08/2023,2023,14,HHS Region 9,157.0,7923.0
04/09/2023,04/15/2023,2023,15,HHS Region 9,168.0,7902.0
04/16/2023,04/22/2023,2023,16,HHS Region 9,177.0,7913.0
04/23/2023,04/29/2023,2023,17,HHS Region 9,138.0,7735.0
04/30/2023,05/06/2023,2023,18,HHS Region 9,137.0,7434.0
05/07/2023,05/13/2023,2023,19,HHS Region 9,126.0,7534.0
05/14/2023,05/20/2023,2023,20,HHS Region 9,95.0,7502.0
05/21/2023,05/27/2023,2023,21,HHS Region 9,140.0,7228.0
05/28/2023,06/03/2023,2023,22,HHS Region 9,114.0,7289.0
06/04/2023,06/10/2023,2023,23,HHS Region 9,101.0,7456.0
06/11/2023,06/17/2023,2023,24,HHS Region 9,96.0,7246.0
06/18/2023,06/24/2023,2023,25,HHS Region 9,106.0,7205.0
06/25/2023,07/01/2023,2023,26,HHS Region 9,80.0,7278.0
07/02/2023,07/08/2023,2023,27,HHS Region 9,83.0,7213.0
07/09/2023,07/15/2023,2023,28,HHS Region 9,89.0,7317.0
07/16/2023,07/22/2023,2023,29,HHS Region 9,85.0,7559.0
07/23/2023,07/29/2023,2023,30,HHS Region 9,99.0,7349.0
07/30/2023,08/05/2023,2023,31,HHS Region 9,102.0,7325.0
08/06/2023,08/12/2023,2023,32,HHS Region 9,90.0,7212.0
08/13/2023,08/19/2023,2023,33,HHS Region 9,122.0,7398.0
08/20/2023,08/26/2023,2023,34,HHS Region 9,152.0,7116.0
08/27/2023,09/02/2023,2023,35,HHS Region 9,156.0,7309.0
09/03/2023,09/09/2023,2023,36,HHS Region 9,162.0,7131.0
09/10/2023,09/16/2023,2023,37,HHS Region 9,150.0,6791.0
09/17/2023,09/23/2023,2023,38,HHS Region 9,156.0,6670.0
09/24/2023,09/30/2023,2023,39,HHS Region 9,160.0,6468.0
10/01/2023,10/07/2023,2023,40,HHS Region 9,135.0,6559.0
10/08/2023,10/14/2023,2023,41,HHS Region 9,114.0,6057.0
10/15/2023,10/21/2023,2023,42,HHS Region 9,107.0,4889.0
10/22/2023,10/28/2023,2023,43,HHS Region 9,44.0,2351.0
