Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/03/2021,01/09/2021,2021,1,HHS Region 5,3390.0,13482.0
01/10/2021,01/16/2021,2021,2,HHS Region 5,3049.0,13128.0
01/17/2021,01/23/2021,2021,3,HHS Region 5,2503.0,12391.0
01/24/2021,01/30/2021,2021,4,HHS Region 5,2177.0,11811.0
01/31/2021,02/06/2021,2021,5,HHS Region 5,1800.0,11850.0
02/07/2021,02/13/2021,2021,6,HHS Region 5,1400.0,11217.0
02/14/2021,02/20/2021,2021,7,HHS Region 5,1074.0,11006.0
02/21/2021,02/27/2021,2021,8,HHS Region 5,895.0,10850.0
02/28/2021,03/06/2021,2021,9,HHS Region 5,732.0,10349.0
03/07/2021,03/13/2021,2021,10,HHS Region 5,636.0,9930.0
03/14/2021,03/20/2021,2021,11,HHS Region 5,553.0,9836.0
03/21/2021,03/27/2021,2021,12,HHS Region 5,570.0,10040.0
03/28/2021,04/03/2021,2021,13,HHS Region 5,641.0,9876.0
04/04/2021,04/10/2021,2021,14,HHS Region 5,789.0,10534.0
04/11/2021,04/17/2021,2021,15,HHS Region 5,952.0,10198.0
04/18/2021,04/24/2021,2021,16,HHS Region 5,1079.0,10598.0
04/25/2021,05/01/2021,2021,17,HHS Region 5,999.0,10494.0
05/02/2021,05/08/2021,2021,18,HHS Region 5,936.0,10155.0
05/09/2021,05/15/2021,2021,19,HHS Region 5,861.0,10054.0
05/16/2021,05/22/2021,2021,20,HHS Region 5,760.0,10353.0
05/23/2021,05/29/2021,2021,21,HHS Region 5,584.0,9783.0
05/30/2021,06/05/2021,2021,22,HHS Region 5,509.0,9944.0
06/06/2021,06/12/2021,2021,23,HHS Region 5,427.0,9756.0
06/13/2021,06/19/2021,2021,24,HHS Region 5,315.0,9674.0
06/20/2021,06/26/2021,2021,25,HHS Region 5,249.0,9479.0
06/27/2021,07/03/2021,2021,26,HHS Region 5,191.0,9624.0
07/04/2021,07/10/2021,2021,27,HHS Region 5,189.0,9645.0
07/11/2021,07/17/2021,2021,28,HHS Region 5,173.0,9515.0
07/18/2021,07/24/2021,2021,29,HHS Region 5,187.0,9555.0
07/25/2021,07/31/2021,2021,30,HHS Region 5,269.0,9702.0
08/01/2021,08/07/2021,2021,31,HHS Region 5,366.0,9927.0
08/08/2021,08/14/2021,2021,32,HHS Region 5,531.0,10201.0
08/15/2021,08/21/2021,2021,33,HHS Region 5,811.0,10463.0
08/22/2021,08/28/2021,2021,34,HHS Region 5,970.0,10715.0
08/29/2021,09/04/2021,2021,35,HHS Region 5,1201.0,10960.0
09/05/2021,09/11/2021,2021,36,HHS Region 5,1418.0,11194.0
09/12/2021,09/18/2021,2021,37,HHS Region 5,1662.0,11578.0
09/19/2021,09/25/2021,2021,38,HHS Region 5,1710.0,11491.0
09/26/2021,10/02/2021,2021,39,HHS Region 5,1763.0,11974.0
10/03/2021,10/09/2021,2021,40,HHS Region 5,1712.0,11652.0
10/10/2021,10/16/2021,2021,41,HHS Region 5,1729.0,11450.0
10/17/2021,10/23/2021,2021,42,HHS Region 5,1689.0,11803.0
10/24/2021,10/30/2021,2021,43,HHS Region 5,1578.0,11871.0
10/31/2021,11/06/2021,2021,44,HHS Region 5,1478.0,11916.0
11/07/2021,11/13/2021,2021,45,HHS Region 5,1629.0,12235.0
11/14/2021,11/20/2021,2021,46,HHS Region 5,1881.0,12390.0
11/21/2021,11/27/2021,2021,47,HHS Region 5,2326.0,13131.0
11/28/2021,12/04/2021,2021,48,HHS Region 5,2653.0,13422.0
12/05/2021,12/11/2021,2021,49,HHS Region 5,3084.0,14046.0
12/12/2021,12/18/2021,2021,50,HHS Region 5,3312.0,14024.0
12/19/2021,12/25/2021,2021,51,HHS Region 5,3295.0,13944.0
12/26/2021,01/01/2022,2021,52,HHS Region 5,3348.0,14105.0
