Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/02/2022,01/08/2022,2022,1,HHS Region 8,374.0,2488.0
01/09/2022,01/15/2022,2022,2,HHS Region 8,441.0,2445.0
01/16/2022,01/22/2022,2022,3,HHS Region 8,497.0,2487.0
01/23/2022,01/29/2022,2022,4,HHS Region 8,510.0,2469.0
01/30/2022,02/05/2022,2022,5,HHS Region 8,505.0,2408.0
02/06/2022,02/12/2022,2022,6,HHS Region 8,434.0,2221.0
02/13/2022,02/19/2022,2022,7,HHS Region 8,306.0,2143.0
02/20/2022,02/26/2022,2022,8,HHS Region 8,252.0,2027.0
02/27/2022,03/05/2022,2022,9,HHS Region 8,194.0,2014.0
03/06/2022,03/12/2022,2022,10,HHS Region 8,136.0,1966.0
03/13/2022,03/19/2022,2022,11,HHS Region 8,108.0,1879.0
03/20/2022,03/26/2022,2022,12,HHS Region 8,70.0,1853.0
03/27/2022,04/02/2022,2022,13,HHS Region 8,57.0,1861.0
04/03/2022,04/09/2022,2022,14,HHS Region 8,48.0,1777.0
04/10/2022,04/16/2022,2022,15,HHS Region 8,31.0,1861.0
04/17/2022,04/23/2022,2022,16,HHS Region 8,39.0,1877.0
04/24/2022,04/30/2022,2022,17,HHS Region 8,43.0,1826.0
05/01/2022,05/07/2022,2022,18,HHS Region 8,32.0,1821.0
05/08/2022,05/14/2022,2022,19,HHS Region 8,37.0,1824.0
05/15/2022,05/21/2022,2022,20,HHS Region 8,53.0,1943.0
05/22/2022,05/28/2022,2022,21,HHS Region 8,45.0,1881.0
05/29/2022,06/04/2022,2022,22,HHS Region 8,73.0,1776.0
06/05/2022,06/11/2022,2022,23,HHS Region 8,72.0,1835.0
06/12/2022,06/18/2022,2022,24,HHS Region 8,70.0,1803.0
06/19/2022,06/25/2022,2022,25,HHS Region 8,83.0,1895.0
06/26/2022,07/02/2022,2022,26,HHS Region 8,76.0,1847.0
07/03/2022,07/09/2022,2022,27,HHS Region 8,75.0,1857.0
07/10/2022,07/16/2022,2022,28,HHS Region 8,82.0,1810.0
07/17/2022,07/23/2022,2022,29,HHS Region 8,107.0,1895.0
07/24/2022,07/30/2022,2022,30,HHS Region 8,106.0,1833.0
07/31/2022,08/06/2022,2022,31,HHS Region 8,80.0,1866.0
08/07/2022,08/13/2022,2022,32,HHS Region 8,73.0,1771.0
08/14/2022,08/20/2022,2022,33,HHS Region 8,84.0,1785.0
08/21/2022,08/27/2022,2022,34,HHS Region 8,52.0,1757.0
08/28/2022,09/03/2022,2022,35,HHS Region 8,75.0,1783.0
09/04/2022,09/10/2022,2022,36,HHS Region 8,66.0,1858.0
09/11/2022,09/17/2022,2022,37,HHS Region 8,74.0,1888.0
09/18/2022,09/24/2022,2022,38,HHS Region 8,79.0,1887.0
09/25/2022,10/01/2022,2022,39,HHS Region 8,60.0,1826.0
10/02/2022,10/08/2022,2022,40,HHS Region 8,52.0,1705.0
10/09/2022,10/15/2022,2022,41,HHS Region 8,63.0,1857.0
10/16/2022,10/22/2022,2022,42,HHS Region 8,71.0,1982.0
10/23/2022,10/29/2022,2022,43,HHS Region 8,64.0,1874.0
10/30/2022,11/05/2022,2022,44,HHS Region 8,85.0,1931.0
11/06/2022,11/12/2022,2022,45,HHS Region 8,97.0,2006.0
11/13/2022,11/19/2022,2022,46,HHS Region 8,107.0,1996.0
11/20/2022,11/26/2022,2022,47,HHS Region 8,104.0,2055.0
11/27/2022,12/03/2022,2022,48,HHS Region 8,102.0,2070.0
12/04/2022,12/10/2022,2022,49,HHS Region 8,112.0,2080.0
12/11/2022,12/17/2022,2022,50,HHS Region 8,91.0,2088.0
12/18/2022,12/24/2022,2022,51,HHS Region 8,87.0,2168.0
12/25/2022,12/31/2022,2022,52,HHS Region 8,92.0,2123.0
