Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/03/2021,01/09/2021,2021,1,HHS Region 2,1981.0,6676.0
01/10/2021,01/16/2021,2021,2,HHS Region 2,2102.0,6916.0
01/17/2021,01/23/2021,2021,3,HHS Region 2,2044.0,6583.0
01/24/2021,01/30/2021,2021,4,HHS Region 2,1913.0,6520.0
01/31/2021,02/06/2021,2021,5,HHS Region 2,1771.0,6504.0
02/07/2021,02/13/2021,2021,6,HHS Region 2,1526.0,6064.0
02/14/2021,02/20/2021,2021,7,HHS Region 2,1322.0,5885.0
02/21/2021,02/27/2021,2021,8,HHS Region 2,1152.0,5763.0
02/28/2021,03/06/2021,2021,9,HHS Region 2,947.0,5434.0
03/07/2021,03/13/2021,2021,10,HHS Region 2,910.0,5241.0
03/14/2021,03/20/2021,2021,11,HHS Region 2,810.0,5235.0
03/21/2021,03/27/2021,2021,12,HHS Region 2,823.0,5220.0
03/28/2021,04/03/2021,2021,13,HHS Region 2,783.0,5011.0
04/04/2021,04/10/2021,2021,14,HHS Region 2,787.0,5187.0
04/11/2021,04/17/2021,2021,15,HHS Region 2,738.0,4844.0
04/18/2021,04/24/2021,2021,16,HHS Region 2,692.0,5012.0
04/25/2021,05/01/2021,2021,17,HHS Region 2,554.0,4900.0
05/02/2021,05/08/2021,2021,18,HHS Region 2,498.0,4616.0
05/09/2021,05/15/2021,2021,19,HHS Region 2,393.0,4612.0
05/16/2021,05/22/2021,2021,20,HHS Region 2,290.0,4687.0
05/23/2021,05/29/2021,2021,21,HHS Region 2,249.0,4292.0
05/30/2021,06/05/2021,2021,22,HHS Region 2,184.0,4514.0
06/06/2021,06/12/2021,2021,23,HHS Region 2,130.0,4165.0
06/13/2021,06/19/2021,2021,24,HHS Region 2,137.0,4228.0
06/20/2021,06/26/2021,2021,25,HHS Region 2,101.0,4238.0
06/27/2021,07/03/2021,2021,26,HHS Region 2,92.0,4337.0
07/04/2021,07/10/2021,2021,27,HHS Region 2,74.0,4309.0
07/11/2021,07/17/2021,2021,28,HHS Region 2,84.0,4152.0
07/18/2021,07/24/2021,2021,29,HHS Region 2,78.0,4304.0
07/25/2021,07/31/2021,2021,30,HHS Region 2,103.0,4300.0
08/01/2021,08/07/2021,2021,31,HHS Region 2,143.0,4586.0
08/08/2021,08/14/2021,2021,32,HHS Region 2,215.0,4613.0
08/15/2021,08/21/2021,2021,33,HHS Region 2,288.0,4577.0
08/22/2021,08/28/2021,2021,34,HHS Region 2,325.0,4648.0
08/29/2021,09/04/2021,2021,35,HHS Region 2,374.0,4716.0
09/05/2021,09/11/2021,2021,36,HHS Region 2,402.0,4841.0
09/12/2021,09/18/2021,2021,37,HHS Region 2,432.0,4870.0
09/19/2021,09/25/2021,2021,38,HHS Region 2,454.0,4767.0
09/26/2021,10/02/2021,2021,39,HHS Region 2,446.0,4927.0
10/03/2021,10/09/2021,2021,40,HHS Region 2,435.0,5039.0
10/10/2021,10/16/2021,2021,41,HHS Region 2,416.0,4853.0
10/17/2021,10/23/2021,2021,42,HHS Region 2,428.0,4852.0
10/24/2021,10/30/2021,2021,43,HHS Region 2,411.0,4946.0
10/31/2021,11/06/2021,2021,44,HHS Region 2,391.0,5062.0
11/07/2021,11/13/2021,2021,45,HHS Region 2,366.0,5109.0
11/14/2021,11/20/2021,2021,46,HHS Region 2,360.0,4977.0
11/21/2021,11/27/2021,2021,47,HHS Region 2,429.0,5239.0
11/28/2021,12/04/2021,2021,48,HHS Region 2,552.0,5294.0
12/05/2021,12/11/2021,2021,49,HHS Region 2,629.0,5400.0
12/12/2021,12/18/2021,2021,50,HHS Region 2,699.0,5511.0
12/19/2021,12/25/2021,2021,51,HHS Region 2,807.0,5668.0
12/26/2021,01/01/2022,2021,52,HHS Region 2,1133.0,6098.0
