Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/01/2023,01/07/2023,2023,1,HHS Region 3,438.0,7071.0
01/08/2023,01/14/2023,2023,2,HHS Region 3,421.0,6629.0
01/15/2023,01/21/2023,2023,3,HHS Region 3,393.0,6478.0
01/22/2023,01/28/2023,2023,4,HHS Region 3,340.0,6182.0
01/29/2023,02/04/2023,2023,5,HHS Region 3,369.0,6353.0
02/05/2023,02/11/2023,2023,6,HHS Region 3,285.0,6405.0
02/12/2023,02/18/2023,2023,7,HHS Region 3,278.0,6344.0
02/19/2023,02/25/2023,2023,8,HHS Region 3,253.0,6242.0
02/26/2023,03/04/2023,2023,9,HHS Region 3,230.0,6060.0
03/05/2023,03/11/2023,2023,10,HHS Region 3,219.0,6015.0
03/12/2023,03/18/2023,2023,11,HHS Region 3,184.0,6236.0
03/19/2023,03/25/2023,2023,12,HHS Region 3,178.0,6169.0
03/26/2023,04/01/2023,2023,13,HHS Region 3,159.0,6043.0
04/02/2023,04/08/2023,2023,14,HHS Region 3,145.0,5910.0
04/09/2023,04/15/2023,2023,15,HHS Region 3,119.0,5819.0
04/16/2023,04/22/2023,2023,16,HHS Region 3,106.0,5760.0
04/23/2023,04/29/2023,2023,17,HHS Region 3,95.0,5696.0
04/30/2023,05/06/2023,2023,18,HHS Region 3,75.0,5787.0
05/07/2023,05/13/2023,2023,19,HHS Region 3,69.0,5870.0
05/14/2023,05/20/2023,2023,20,HHS Region 3,57.0,5712.0
05/21/2023,05/27/2023,2023,21,HHS Region 3,64.0,5486.0
05/28/2023,06/03/2023,2023,22,HHS Region 3,52.0,5555.0
06/04/2023,06/10/2023,2023,23,HHS Region 3,65.0,5611.0
06/11/2023,06/17/2023,2023,24,HHS Region 3,55.0,5563.0
06/18/2023,06/24/2023,2023,25,HHS Region 3,40.0,5548.0
06/25/2023,07/01/2023,2023,26,HHS Region 3,44.0,5506.0
07/02/2023,07/08/2023,2023,27,HHS Region 3,33.0,5633.0
07/09/2023,07/15/2023,2023,28,HHS Region 3,37.0,5508.0
07/16/2023,07/22/2023,2023,29,HHS Region 3,37.0,5393.0
07/23/2023,07/29/2023,2023,30,HHS Region 3,51.0,5335.0
07/30/2023,08/05/2023,2023,31,HHS Region 3,50.0,5495.0
08/06/2023,08/12/2023,2023,32,HHS Region 3,64.0,5602.0
08/13/2023,08/19/2023,2023,33,HHS Region 3,83.0,5529.0
08/20/2023,08/26/2023,2023,34,HHS Region 3,99.0,5554.0
08/27/2023,09/02/2023,2023,35,HHS Region 3,103.0,5504.0
09/03/2023,09/09/2023,2023,36,HHS Region 3,125.0,5620.0
09/10/2023,09/16/2023,2023,37,HHS Region 3,151.0,5474.0
09/17/2023,09/23/2023,2023,38,HHS Region 3,140.0,5403.0
09/24/2023,09/30/2023,2023,39,HHS Region 3,142.0,5516.0
10/01/2023,10/07/2023,2023,40,HHS Region 3,133.0,5710.0
10/08/2023,10/14/2023,2023,41,HHS Region 3,136.0,5429.0
10/15/2023,10/21/2023,2023,42,HHS Region 3,130.0,4614.0
10/22/2023,10/28/2023,2023,43,HHS Region 3,94.0,3236.0
