Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/02/2022,01/08/2022,2022,1,HHS Region 1,710.0,3521.0
01/09/2022,01/15/2022,2022,2,HHS Region 1,795.0,3652.0
01/16/2022,01/22/2022,2022,3,HHS Region 1,968.0,3910.0
01/23/2022,01/29/2022,2022,4,HHS Region 1,770.0,3617.0
01/30/2022,02/05/2022,2022,5,HHS Region 1,659.0,3460.0
02/06/2022,02/12/2022,2022,6,HHS Region 1,469.0,3325.0
02/13/2022,02/19/2022,2022,7,HHS Region 1,330.0,3032.0
02/20/2022,02/26/2022,2022,8,HHS Region 1,212.0,2782.0
02/27/2022,03/05/2022,2022,9,HHS Region 1,142.0,2751.0
03/06/2022,03/12/2022,2022,10,HHS Region 1,113.0,2779.0
03/13/2022,03/19/2022,2022,11,HHS Region 1,85.0,2636.0
03/20/2022,03/26/2022,2022,12,HHS Region 1,61.0,2664.0
03/27/2022,04/02/2022,2022,13,HHS Region 1,72.0,2656.0
04/03/2022,04/09/2022,2022,14,HHS Region 1,66.0,2610.0
04/10/2022,04/16/2022,2022,15,HHS Region 1,64.0,2619.0
04/17/2022,04/23/2022,2022,16,HHS Region 1,73.0,2522.0
04/24/2022,04/30/2022,2022,17,HHS Region 1,85.0,2683.0
05/01/2022,05/07/2022,2022,18,HHS Region 1,101.0,2678.0
05/08/2022,05/14/2022,2022,19,HHS Region 1,131.0,2795.0
05/15/2022,05/21/2022,2022,20,HHS Region 1,143.0,2684.0
05/22/2022,05/28/2022,2022,21,HHS Region 1,120.0,2626.0
05/29/2022,06/04/2022,2022,22,HHS Region 1,123.0,2705.0
06/05/2022,06/11/2022,2022,23,HHS Region 1,108.0,2615.0
06/12/2022,06/18/2022,2022,24,HHS Region 1,108.0,2597.0
06/19/2022,06/25/2022,2022,25,HHS Region 1,80.0,2589.0
06/26/2022,07/02/2022,2022,26,HHS Region 1,94.0,2708.0
07/03/2022,07/09/2022,2022,27,HHS Region 1,84.0,2651.0
07/10/2022,07/16/2022,2022,28,HHS Region 1,77.0,2629.0
07/17/2022,07/23/2022,2022,29,HHS Region 1,88.0,2662.0
07/24/2022,07/30/2022,2022,30,HHS Region 1,76.0,2540.0
07/31/2022,08/06/2022,2022,31,HHS Region 1,113.0,2649.0
08/07/2022,08/13/2022,2022,32,HHS Region 1,100.0,2593.0
08/14/2022,08/20/2022,2022,33,HHS Region 1,97.0,2542.0
08/21/2022,08/27/2022,2022,34,HHS Region 1,99.0,2609.0
08/28/2022,09/03/2022,2022,35,HHS Region 1,118.0,2490.0
09/04/2022,09/10/2022,2022,36,HHS Region 1,101.0,2538.0
09/11/2022,09/17/2022,2022,37,HHS Region 1,99.0,2567.0
09/18/2022,09/24/2022,2022,38,HHS Region 1,89.0,2672.0
09/25/2022,10/01/2022,2022,39,HHS Region 1,127.0,2741.0
10/02/2022,10/08/2022,2022,40,HHS Region 1,115.0,2768.0
10/09/2022,10/15/2022,2022,41,HHS Region 1,156.0,2883.0
10/16/2022,10/22/2022,2022,42,HHS Region 1,148.0,2740.0
10/23/2022,10/29/2022,2022,43,HHS Region 1,178.0,2849.0
10/30/2022,11/05/2022,2022,44,HHS Region 1,144.0,2881.0
11/06/2022,11/12/2022,2022,45,HHS Region 1,128.0,2831.0
11/13/2022,11/19/2022,2022,46,HHS Region 1,107.0,2697.0
11/20/2022,11/26/2022,2022,47,HHS Region 1,118.0,2899.0
11/27/2022,12/03/2022,2022,48,HHS Region 1,128.0,2960.0
12/04/2022,12/10/2022,2022,49,HHS Region 1,132.0,3041.0
12/11/2022,12/17/2022,2022,50,HHS Region 1,151.0,3037.0
12/18/2022,12/24/2022,2022,51,HHS Region 1,157.0,3177.0
12/25/2022,12/31/2022,2022,52,HHS Region 1,203.0,3126.0
