Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/02/2022,01/08/2022,2022,1,HHS Region 3,1965.0,8542.0
01/09/2022,01/15/2022,2022,2,HHS Region 3,2387.0,9048.0
01/16/2022,01/22/2022,2022,3,HHS Region 3,2405.0,9016.0
01/23/2022,01/29/2022,2022,4,HHS Region 3,2068.0,8579.0
01/30/2022,02/05/2022,2022,5,HHS Region 3,1768.0,7996.0
02/06/2022,02/12/2022,2022,6,HHS Region 3,1327.0,7564.0
02/13/2022,02/19/2022,2022,7,HHS Region 3,995.0,6868.0
02/20/2022,02/26/2022,2022,8,HHS Region 3,790.0,6556.0
02/27/2022,03/05/2022,2022,9,HHS Region 3,543.0,6446.0
03/06/2022,03/12/2022,2022,10,HHS Region 3,419.0,6211.0
03/13/2022,03/19/2022,2022,11,HHS Region 3,306.0,6194.0
03/20/2022,03/26/2022,2022,12,HHS Region 3,272.0,5947.0
03/27/2022,04/02/2022,2022,13,HHS Region 3,194.0,6009.0
04/03/2022,04/09/2022,2022,14,HHS Region 3,163.0,5843.0
04/10/2022,04/16/2022,2022,15,HHS Region 3,151.0,5908.0
04/17/2022,04/23/2022,2022,16,HHS Region 3,139.0,5741.0
04/24/2022,04/30/2022,2022,17,HHS Region 3,165.0,5715.0
05/01/2022,05/07/2022,2022,18,HHS Region 3,149.0,5781.0
05/08/2022,05/14/2022,2022,19,HHS Region 3,205.0,5811.0
05/15/2022,05/21/2022,2022,20,HHS Region 3,212.0,5800.0
05/22/2022,05/28/2022,2022,21,HHS Region 3,254.0,5762.0
05/29/2022,06/04/2022,2022,22,HHS Region 3,270.0,5831.0
06/05/2022,06/11/2022,2022,23,HHS Region 3,269.0,5771.0
06/12/2022,06/18/2022,2022,24,HHS Region 3,243.0,5761.0
06/19/2022,06/25/2022,2022,25,HHS Region 3,231.0,5881.0
06/26/2022,07/02/2022,2022,26,HHS Region 3,234.0,5802.0
07/03/2022,07/09/2022,2022,27,HHS Region 3,227.0,5616.0
07/10/2022,07/16/2022,2022,28,HHS Region 3,241.0,5766.0
07/17/2022,07/23/2022,2022,29,HHS Region 3,278.0,5967.0
07/24/2022,07/30/2022,2022,30,HHS Region 3,289.0,5855.0
07/31/2022,08/06/2022,2022,31,HHS Region 3,271.0,5759.0
08/07/2022,08/13/2022,2022,32,HHS Region 3,301.0,5746.0
08/14/2022,08/20/2022,2022,33,HHS Region 3,303.0,5842.0
08/21/2022,08/27/2022,2022,34,HHS Region 3,304.0,5872.0
08/28/2022,09/03/2022,2022,35,HHS Region 3,319.0,5735.0
09/04/2022,09/10/2022,2022,36,HHS Region 3,310.0,5816.0
09/11/2022,09/17/2022,2022,37,HHS Region 3,296.0,5831.0
09/18/2022,09/24/2022,2022,38,HHS Region 3,277.0,5842.0
09/25/2022,10/01/2022,2022,39,HHS Region 3,260.0,5935.0
10/02/2022,10/08/2022,2022,40,HHS Region 3,266.0,6172.0
10/09/2022,10/15/2022,2022,41,HHS Region 3,260.0,6168.0
10/16/2022,10/22/2022,2022,42,HHS Region 3,264.0,6056.0
10/23/2022,10/29/2022,2022,43,HHS Region 3,286.0,6204.0
10/30/2022,11/05/2022,2022,44,HHS Region 3,260.0,6276.0
11/06/2022,11/12/2022,2022,45,HHS Region 3,275.0,6223.0
11/13/2022,11/19/2022,2022,46,HHS Region 3,265.0,6170.0
11/20/2022,11/26/2022,2022,47,HHS Region 3,254.0,6550.0
11/27/2022,12/03/2022,2022,48,HHS Region 3,249.0,6589.0
12/04/2022,12/10/2022,2022,49,HHS Region 3,282.0,6648.0
12/11/2022,12/17/2022,2022,50,HHS Region 3,299.0,6734.0
12/18/2022,12/24/2022,2022,51,HHS Region 3,332.0,6762.0
12/25/2022,12/31/2022,2022,52,HHS Region 3,396.0,7170.0
