Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/01/2023,01/07/2023,2023,1,HHS Region 8,95.0,2109.0
01/08/2023,01/14/2023,2023,2,HHS Region 8,85.0,2086.0
01/15/2023,01/21/2023,2023,3,HHS Region 8,67.0,2011.0
01/22/2023,01/28/2023,2023,4,HHS Region 8,50.0,1911.0
01/29/2023,02/04/2023,2023,5,HHS Region 8,49.0,1940.0
02/05/2023,02/11/2023,2023,6,HHS Region 8,44.0,1826.0
02/12/2023,02/18/2023,2023,7,HHS Region 8,47.0,1924.0
02/19/2023,02/25/2023,2023,8,HHS Region 8,56.0,1915.0
02/26/2023,03/04/2023,2023,9,HHS Region 8,66.0,1938.0
03/05/2023,03/11/2023,2023,10,HHS Region 8,62.0,1876.0
03/12/2023,03/18/2023,2023,11,HHS Region 8,59.0,1929.0
03/19/2023,03/25/2023,2023,12,HHS Region 8,52.0,1889.0
03/26/2023,04/01/2023,2023,13,HHS Region 8,46.0,1894.0
04/02/2023,04/08/2023,2023,14,HHS Region 8,51.0,2022.0
04/09/2023,04/15/2023,2023,15,HHS Region 8,39.0,1929.0
04/16/2023,04/22/2023,2023,16,HHS Region 8,43.0,1898.0
04/23/2023,04/29/2023,2023,17,HHS Region 8,33.0,1908.0
04/30/2023,05/06/2023,2023,18,HHS Region 8,36.0,1919.0
05/07/2023,05/13/2023,2023,19,HHS Region 8,36.0,1842.0
05/14/2023,05/20/2023,2023,20,HHS Region 8,24.0,1724.0
05/21/2023,05/27/2023,2023,21,HHS Region 8,22.0,1782.0
05/28/2023,06/03/2023,2023,22,HHS Region 8,16.0,1744.0
06/04/2023,06/10/2023,2023,23,HHS Region 8,21.0,1767.0
06/11/2023,06/17/2023,2023,24,HHS Region 8,20.0,1673.0
06/18/2023,06/24/2023,2023,25,HHS Region 8,14.0,1857.0
06/25/2023,07/01/2023,2023,26,HHS Region 8,11.0,1809.0
07/02/2023,07/08/2023,2023,27,HHS Region 8,,1801.0
07/09/2023,07/15/2023,2023,28,HHS Region 8,14.0,1724.0
07/16/2023,07/22/2023,2023,29,HHS Region 8,12.0,1852.0
07/23/2023,07/29/2023,2023,30,HHS Region 8,16.0,1683.0
07/30/2023,08/05/2023,2023,31,HHS Region 8,14.0,1795.0
08/06/2023,08/12/2023,2023,32,HHS Region 8,14.0,1703.0
08/13/2023,08/19/2023,2023,33,HHS Region 8,16.0,1849.0
08/20/2023,08/26/2023,2023,34,HHS Region 8,30.0,1800.0
08/27/2023,09/02/2023,2023,35,HHS Region 8,18.0,1776.0
09/03/2023,09/09/2023,2023,36,HHS Region 8,31.0,1817.0
09/10/2023,09/16/2023,2023,37,HHS Region 8,27.0,1801.0
09/17/2023,09/23/2023,2023,38,HHS Region 8,29.0,1821.0
09/24/2023,09/30/2023,2023,39,HHS Region 8,37.0,1781.0
10/01/2023,10/07/2023,2023,40,HHS Region 8,41.0,1779.0
10/08/2023,10/14/2023,2023,41,HHS Region 8,47.0,1623.0
10/15/2023,10/21/2023,2023,42,HHS Region 8,26.0,1066.0
10/22/2023,10/28/2023,2023,43,HHS Region 8,19.0,534.0
