Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
12/29/2019,01/04/2020,2020,1,HHS Region 3,0.0,6079.0
01/05/2020,01/11/2020,2020,2,HHS Region 3,0.0,6227.0
01/12/2020,01/18/2020,2020,3,HHS Region 3,0.0,6172.0
01/19/2020,01/25/2020,2020,4,HHS Region 3,0.0,6049.0
01/26/2020,02/01/2020,2020,5,HHS Region 3,0.0,6091.0
02/02/2020,02/08/2020,2020,6,HHS Region 3,0.0,6138.0
02/09/2020,02/15/2020,2020,7,HHS Region 3,0.0,6008.0
02/16/2020,02/22/2020,2020,8,HHS Region 3,0.0,5886.0
02/23/2020,02/29/2020,2020,9,HHS Region 3,0.0,6008.0
03/01/2020,03/07/2020,2020,10,HHS Region 3,0.0,6122.0
03/08/2020,03/14/2020,2020,11,HHS Region 3,,6021.0
03/15/2020,03/21/2020,2020,12,HHS Region 3,18.0,5968.0
03/22/2020,03/28/2020,2020,13,HHS Region 3,118.0,6128.0
03/29/2020,04/04/2020,2020,14,HHS Region 3,400.0,6486.0
04/05/2020,04/11/2020,2020,15,HHS Region 3,1028.0,7347.0
04/12/2020,04/18/2020,2020,16,HHS Region 3,1513.0,7534.0
04/19/2020,04/25/2020,2020,17,HHS Region 3,1847.0,7974.0
04/26/2020,05/02/2020,2020,18,HHS Region 3,1769.0,7673.0
05/03/2020,05/09/2020,2020,19,HHS Region 3,1627.0,7381.0
05/10/2020,05/16/2020,2020,20,HHS Region 3,1456.0,7164.0
05/17/2020,05/23/2020,2020,21,HHS Region 3,1080.0,6604.0
05/24/2020,05/30/2020,2020,22,HHS Region 3,905.0,6313.0
05/31/2020,06/06/2020,2020,23,HHS Region 3,679.0,6042.0
06/07/2020,06/13/2020,2020,24,HHS Region 3,562.0,5952.0
06/14/2020,06/20/2020,2020,25,HHS Region 3,444.0,5704.0
06/21/2020,06/27/2020,2020,26,HHS Region 3,373.0,5800.0
06/28/2020,07/04/2020,2020,27,HHS Region 3,311.0,5770.0
07/05/2020,07/11/2020,2020,28,HHS Region 3,280.0,5959.0
07/12/2020,07/18/2020,2020,29,HHS Region 3,295.0,5717.0
07/19/2020,07/25/2020,2020,30,HHS Region 3,276.0,5840.0
07/26/2020,08/01/2020,2020,31,HHS Region 3,329.0,5985.0
08/02/2020,08/08/2020,2020,32,HHS Region 3,346.0,5897.0
08/09/2020,08/15/2020,2020,33,HHS Region 3,333.0,5960.0
08/16/2020,08/22/2020,2020,34,HHS Region 3,343.0,5878.0
08/23/2020,08/29/2020,2020,35,HHS Region 3,315.0,5859.0
08/30/2020,09/05/2020,2020,36,HHS Region 3,315.0,5942.0
09/06/2020,09/12/2020,2020,37,HHS Region 3,302.0,5861.0
09/13/2020,09/19/2020,2020,38,HHS Region 3,311.0,5825.0
09/20/2020,09/26/2020,2020,39,HHS Region 3,273.0,6046.0
09/27/2020,10/03/2020,2020,40,HHS Region 3,303.0,6037.0
10/04/2020,10/10/2020,2020,41,HHS Region 3,355.0,6195.0
10/11/2020,10/17/2020,2020,42,HHS Region 3,340.0,5926.0
10/18/2020,10/24/2020,2020,43,HHS Region 3,418.0,6163.0
10/25/2020,10/31/2020,2020,44,HHS Region 3,468.0,6196.0
11/01/2020,11/07/2020,2020,45,HHS Region 3,607.0,6570.0
11/08/2020,11/14/2020,2020,46,HHS Region 3,763.0,6607.0
11/15/2020,11/21/2020,2020,47,HHS Region 3,1109.0,7104.0
11/22/2020,11/28/2020,2020,48,HHS Region 3,1482.0,7307.0
11/29/2020,12/05/2020,2020,49,HHS Region 3,1866.0,7791.0
12/06/2020,12/12/2020,2020,50,HHS Region 3,2326.0,8610.0
12/13/2020,12/19/2020,2020,51,HHS Region 3,2539.0,8861.0
12/20/2020,12/26/2020,2020,52,HHS Region 3,2595.0,8854.0
12/27/2020,01/02/2021,2020,53,HHS Region 3,2617.0,9097.0
