Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/02/2022,01/08/2022,2022,1,HHS Region 7,801.0,3958.0
01/09/2022,01/15/2022,2022,2,HHS Region 7,975.0,4152.0
01/16/2022,01/22/2022,2022,3,HHS Region 7,980.0,3983.0
01/23/2022,01/29/2022,2022,4,HHS Region 7,966.0,4046.0
01/30/2022,02/05/2022,2022,5,HHS Region 7,885.0,3843.0
02/06/2022,02/12/2022,2022,6,HHS Region 7,711.0,3652.0
02/13/2022,02/19/2022,2022,7,HHS Region 7,577.0,3367.0
02/20/2022,02/26/2022,2022,8,HHS Region 7,339.0,3159.0
02/27/2022,03/05/2022,2022,9,HHS Region 7,286.0,3170.0
03/06/2022,03/12/2022,2022,10,HHS Region 7,219.0,2945.0
03/13/2022,03/19/2022,2022,11,HHS Region 7,122.0,2905.0
03/20/2022,03/26/2022,2022,12,HHS Region 7,118.0,2788.0
03/27/2022,04/02/2022,2022,13,HHS Region 7,87.0,2666.0
04/03/2022,04/09/2022,2022,14,HHS Region 7,79.0,2728.0
04/10/2022,04/16/2022,2022,15,HHS Region 7,48.0,2811.0
04/17/2022,04/23/2022,2022,16,HHS Region 7,50.0,2713.0
04/24/2022,04/30/2022,2022,17,HHS Region 7,43.0,2636.0
05/01/2022,05/07/2022,2022,18,HHS Region 7,62.0,2767.0
05/08/2022,05/14/2022,2022,19,HHS Region 7,51.0,2799.0
05/15/2022,05/21/2022,2022,20,HHS Region 7,53.0,2646.0
05/22/2022,05/28/2022,2022,21,HHS Region 7,66.0,2661.0
05/29/2022,06/04/2022,2022,22,HHS Region 7,73.0,2828.0
06/05/2022,06/11/2022,2022,23,HHS Region 7,75.0,2704.0
06/12/2022,06/18/2022,2022,24,HHS Region 7,54.0,2701.0
06/19/2022,06/25/2022,2022,25,HHS Region 7,86.0,2829.0
06/26/2022,07/02/2022,2022,26,HHS Region 7,104.0,2660.0
07/03/2022,07/09/2022,2022,27,HHS Region 7,109.0,2729.0
07/10/2022,07/16/2022,2022,28,HHS Region 7,130.0,2755.0
07/17/2022,07/23/2022,2022,29,HHS Region 7,131.0,2797.0
07/24/2022,07/30/2022,2022,30,HHS Region 7,149.0,2694.0
07/31/2022,08/06/2022,2022,31,HHS Region 7,159.0,2799.0
08/07/2022,08/13/2022,2022,32,HHS Region 7,145.0,2714.0
08/14/2022,08/20/2022,2022,33,HHS Region 7,145.0,2797.0
08/21/2022,08/27/2022,2022,34,HHS Region 7,142.0,2785.0
08/28/2022,09/03/2022,2022,35,HHS Region 7,124.0,2689.0
09/04/2022,09/10/2022,2022,36,HHS Region 7,121.0,2762.0
09/11/2022,09/17/2022,2022,37,HHS Region 7,112.0,2816.0
09/18/2022,09/24/2022,2022,38,HHS Region 7,115.0,2751.0
09/25/2022,10/01/2022,2022,39,HHS Region 7,116.0,2788.0
10/02/2022,10/08/2022,2022,40,HHS Region 7,92.0,2758.0
10/09/2022,10/15/2022,2022,41,HHS Region 7,87.0,2861.0
10/16/2022,10/22/2022,2022,42,HHS Region 7,117.0,2920.0
10/23/2022,10/29/2022,2022,43,HHS Region 7,87.0,2827.0
10/30/2022,11/05/2022,2022,44,HHS Region 7,115.0,2824.0
11/06/2022,11/12/2022,2022,45,HHS Region 7,87.0,2819.0
11/13/2022,11/19/2022,2022,46,HHS Region 7,111.0,2942.0
11/20/2022,11/26/2022,2022,47,HHS Region 7,106.0,3052.0
11/27/2022,12/03/2022,2022,48,HHS Region 7,128.0,3122.0
12/04/2022,12/10/2022,2022,49,HHS Region 7,172.0,3333.0
12/11/2022,12/17/2022,2022,50,HHS Region 7,184.0,3239.0
12/18/2022,12/24/2022,2022,51,HHS Region 7,154.0,3319.0
12/25/2022,12/31/2022,2022,52,HHS Region 7,190.0,3474.0
