Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/01/2023,01/07/2023,2023,1,HHS Region 7,172.0,3360.0
01/08/2023,01/14/2023,2023,2,HHS Region 7,124.0,3143.0
01/15/2023,01/21/2023,2023,3,HHS Region 7,117.0,2869.0
01/22/2023,01/28/2023,2023,4,HHS Region 7,118.0,2960.0
01/29/2023,02/04/2023,2023,5,HHS Region 7,93.0,2908.0
02/05/2023,02/11/2023,2023,6,HHS Region 7,105.0,3043.0
02/12/2023,02/18/2023,2023,7,HHS Region 7,88.0,2952.0
02/19/2023,02/25/2023,2023,8,HHS Region 7,90.0,2873.0
02/26/2023,03/04/2023,2023,9,HHS Region 7,85.0,2966.0
03/05/2023,03/11/2023,2023,10,HHS Region 7,99.0,2895.0
03/12/2023,03/18/2023,2023,11,HHS Region 7,92.0,2909.0
03/19/2023,03/25/2023,2023,12,HHS Region 7,114.0,3026.0
03/26/2023,04/01/2023,2023,13,HHS Region 7,58.0,3017.0
04/02/2023,04/08/2023,2023,14,HHS Region 7,94.0,2875.0
04/09/2023,04/15/2023,2023,15,HHS Region 7,69.0,2878.0
04/16/2023,04/22/2023,2023,16,HHS Region 7,59.0,2703.0
04/23/2023,04/29/2023,2023,17,HHS Region 7,51.0,2806.0
04/30/2023,05/06/2023,2023,18,HHS Region 7,44.0,2749.0
05/07/2023,05/13/2023,2023,19,HHS Region 7,40.0,2777.0
05/14/2023,05/20/2023,2023,20,HHS Region 7,46.0,2680.0
05/21/2023,05/27/2023,2023,21,HHS Region 7,31.0,2609.0
05/28/2023,06/03/2023,2023,22,HHS Region 7,35.0,2646.0
06/04/2023,06/10/2023,2023,23,HHS Region 7,21.0,2705.0
06/11/2023,06/17/2023,2023,24,HHS Region 7,22.0,2681.0
06/18/2023,06/24/2023,2023,25,HHS Region 7,17.0,2643.0
06/25/2023,07/01/2023,2023,26,HHS Region 7,20.0,2560.0
07/02/2023,07/08/2023,2023,27,HHS Region 7,12.0,2579.0
07/09/2023,07/15/2023,2023,28,HHS Region 7,,2553.0
07/16/2023,07/22/2023,2023,29,HHS Region 7,18.0,2479.0
07/23/2023,07/29/2023,2023,30,HHS Region 7,15.0,2709.0
07/30/2023,08/05/2023,2023,31,HHS Region 7,12.0,2477.0
08/06/2023,08/12/2023,2023,32,HHS Region 7,20.0,2697.0
08/13/2023,08/19/2023,2023,33,HHS Region 7,22.0,2544.0
08/20/2023,08/26/2023,2023,34,HHS Region 7,34.0,2596.0
08/27/2023,09/02/2023,2023,35,HHS Region 7,38.0,2611.0
09/03/2023,09/09/2023,2023,36,HHS Region 7,37.0,2534.0
09/10/2023,09/16/2023,2023,37,HHS Region 7,49.0,2629.0
09/17/2023,09/23/2023,2023,38,HHS Region 7,43.0,2459.0
09/24/2023,09/30/2023,2023,39,HHS Region 7,54.0,2474.0
10/01/2023,10/07/2023,2023,40,HHS Region 7,45.0,2322.0
10/08/2023,10/14/2023,2023,41,HHS Region 7,46.0,2259.0
10/15/2023,10/21/2023,2023,42,HHS Region 7,51.0,2000.0
10/22/2023,10/28/2023,2023,43,HHS Region 7,32.0,1212.0
