Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/01/2023,01/07/2023,2023,1,HHS Region 10,99.0,2950.0
01/08/2023,01/14/2023,2023,2,HHS Region 10,110.0,2857.0
01/15/2023,01/21/2023,2023,3,HHS Region 10,82.0,2567.0
01/22/2023,01/28/2023,2023,4,HHS Region 10,89.0,2549.0
01/29/2023,02/04/2023,2023,5,HHS Region 10,76.0,2640.0
02/05/2023,02/11/2023,2023,6,HHS Region 10,86.0,2593.0
02/12/2023,02/18/2023,2023,7,HHS Region 10,81.0,2527.0
02/19/2023,02/25/2023,2023,8,HHS Region 10,74.0,2583.0
02/26/2023,03/04/2023,2023,9,HHS Region 10,85.0,2666.0
03/05/2023,03/11/2023,2023,10,HHS Region 10,64.0,2602.0
03/12/2023,03/18/2023,2023,11,HHS Region 10,85.0,2573.0
03/19/2023,03/25/2023,2023,12,HHS Region 10,76.0,2546.0
03/26/2023,04/01/2023,2023,13,HHS Region 10,85.0,2534.0
04/02/2023,04/08/2023,2023,14,HHS Region 10,73.0,2634.0
04/09/2023,04/15/2023,2023,15,HHS Region 10,54.0,2459.0
04/16/2023,04/22/2023,2023,16,HHS Region 10,49.0,2531.0
04/23/2023,04/29/2023,2023,17,HHS Region 10,46.0,2554.0
04/30/2023,05/06/2023,2023,18,HHS Region 10,52.0,2400.0
05/07/2023,05/13/2023,2023,19,HHS Region 10,21.0,2377.0
05/14/2023,05/20/2023,2023,20,HHS Region 10,36.0,2357.0
05/21/2023,05/27/2023,2023,21,HHS Region 10,26.0,2311.0
05/28/2023,06/03/2023,2023,22,HHS Region 10,25.0,2324.0
06/04/2023,06/10/2023,2023,23,HHS Region 10,24.0,2360.0
06/11/2023,06/17/2023,2023,24,HHS Region 10,35.0,2403.0
06/18/2023,06/24/2023,2023,25,HHS Region 10,28.0,2389.0
06/25/2023,07/01/2023,2023,26,HHS Region 10,24.0,2307.0
07/02/2023,07/08/2023,2023,27,HHS Region 10,20.0,2306.0
07/09/2023,07/15/2023,2023,28,HHS Region 10,35.0,2394.0
07/16/2023,07/22/2023,2023,29,HHS Region 10,23.0,2346.0
07/23/2023,07/29/2023,2023,30,HHS Region 10,25.0,2338.0
07/30/2023,08/05/2023,2023,31,HHS Region 10,30.0,2391.0
08/06/2023,08/12/2023,2023,32,HHS Region 10,32.0,2359.0
08/13/2023,08/19/2023,2023,33,HHS Region 10,38.0,2373.0
08/20/2023,08/26/2023,2023,34,HHS Region 10,36.0,2318.0
08/27/2023,09/02/2023,2023,35,HHS Region 10,45.0,2285.0
09/03/2023,09/09/2023,2023,36,HHS Region 10,51.0,2344.0
09/10/2023,09/16/2023,2023,37,HHS Region 10,52.0,2373.0
09/17/2023,09/23/2023,2023,38,HHS Region 10,60.0,2357.0
09/24/2023,09/30/2023,2023,39,HHS Region 10,69.0,2370.0
10/01/2023,10/07/2023,2023,40,HHS Region 10,52.0,2311.0
10/08/2023,10/14/2023,2023,41,HHS Region 10,58.0,2039.0
10/15/2023,10/21/2023,2023,42,HHS Region 10,37.0,1447.0
10/22/2023,10/28/2023,2023,43,HHS Region 10,14.0,435.0
