Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/03/2021,01/09/2021,2021,1,HHS Region 4,5089.0,19298.0
01/10/2021,01/16/2021,2021,2,HHS Region 4,5519.0,20057.0
01/17/2021,01/23/2021,2021,3,HHS Region 4,5342.0,19497.0
01/24/2021,01/30/2021,2021,4,HHS Region 4,4619.0,18489.0
01/31/2021,02/06/2021,2021,5,HHS Region 4,3872.0,17753.0
02/07/2021,02/13/2021,2021,6,HHS Region 4,3006.0,16723.0
02/14/2021,02/20/2021,2021,7,HHS Region 4,2439.0,16023.0
02/21/2021,02/27/2021,2021,8,HHS Region 4,1973.0,15316.0
02/28/2021,03/06/2021,2021,9,HHS Region 4,1557.0,14541.0
03/07/2021,03/13/2021,2021,10,HHS Region 4,1320.0,14424.0
03/14/2021,03/20/2021,2021,11,HHS Region 4,1087.0,13749.0
03/21/2021,03/27/2021,2021,12,HHS Region 4,1004.0,14170.0
03/28/2021,04/03/2021,2021,13,HHS Region 4,961.0,13325.0
04/04/2021,04/10/2021,2021,14,HHS Region 4,887.0,14377.0
04/11/2021,04/17/2021,2021,15,HHS Region 4,873.0,13954.0
04/18/2021,04/24/2021,2021,16,HHS Region 4,972.0,14055.0
04/25/2021,05/01/2021,2021,17,HHS Region 4,878.0,13927.0
05/02/2021,05/08/2021,2021,18,HHS Region 4,908.0,13869.0
05/09/2021,05/15/2021,2021,19,HHS Region 4,813.0,13607.0
05/16/2021,05/22/2021,2021,20,HHS Region 4,755.0,13739.0
05/23/2021,05/29/2021,2021,21,HHS Region 4,675.0,13782.0
05/30/2021,06/05/2021,2021,22,HHS Region 4,608.0,13372.0
06/06/2021,06/12/2021,2021,23,HHS Region 4,509.0,13593.0
06/13/2021,06/19/2021,2021,24,HHS Region 4,423.0,13518.0
06/20/2021,06/26/2021,2021,25,HHS Region 4,398.0,13440.0
06/27/2021,07/03/2021,2021,26,HHS Region 4,388.0,13268.0
07/04/2021,07/10/2021,2021,27,HHS Region 4,446.0,13375.0
07/11/2021,07/17/2021,2021,28,HHS Region 4,580.0,13494.0
07/18/2021,07/24/2021,2021,29,HHS Region 4,919.0,14183.0
07/25/2021,07/31/2021,2021,30,HHS Region 4,1559.0,14905.0
08/01/2021,08/07/2021,2021,31,HHS Region 4,2684.0,16301.0
08/08/2021,08/14/2021,2021,32,HHS Region 4,4119.0,17713.0
08/15/2021,08/21/2021,2021,33,HHS Region 4,5375.0,19175.0
08/22/2021,08/28/2021,2021,34,HHS Region 4,6204.0,20149.0
08/29/2021,09/04/2021,2021,35,HHS Region 4,6698.0,20421.0
09/05/2021,09/11/2021,2021,36,HHS Region 4,6375.0,20345.0
09/12/2021,09/18/2021,2021,37,HHS Region 4,5923.0,19640.0
09/19/2021,09/25/2021,2021,38,HHS Region 4,5202.0,18701.0
09/26/2021,10/02/2021,2021,39,HHS Region 4,4216.0,17689.0
10/03/2021,10/09/2021,2021,40,HHS Region 4,3284.0,16480.0
10/10/2021,10/16/2021,2021,41,HHS Region 4,2573.0,15858.0
10/17/2021,10/23/2021,2021,42,HHS Region 4,2096.0,15218.0
10/24/2021,10/30/2021,2021,43,HHS Region 4,1528.0,14703.0
10/31/2021,11/06/2021,2021,44,HHS Region 4,1235.0,14684.0
11/07/2021,11/13/2021,2021,45,HHS Region 4,1035.0,14929.0
11/14/2021,11/20/2021,2021,46,HHS Region 4,883.0,14551.0
11/21/2021,11/27/2021,2021,47,HHS Region 4,851.0,14496.0
11/28/2021,12/04/2021,2021,48,HHS Region 4,937.0,15126.0
12/05/2021,12/11/2021,2021,49,HHS Region 4,1001.0,15382.0
12/12/2021,12/18/2021,2021,50,HHS Region 4,1128.0,14849.0
12/19/2021,12/25/2021,2021,51,HHS Region 4,1234.0,15176.0
12/26/2021,01/01/2022,2021,52,HHS Region 4,1530.0,15883.0
