Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/02/2022,01/08/2022,2022,1,HHS Region 6,1433.0,9236.0
01/09/2022,01/15/2022,2022,2,HHS Region 6,2073.0,10034.0
01/16/2022,01/22/2022,2022,3,HHS Region 6,2807.0,10868.0
01/23/2022,01/29/2022,2022,4,HHS Region 6,3046.0,11143.0
01/30/2022,02/05/2022,2022,5,HHS Region 6,2852.0,10668.0
02/06/2022,02/12/2022,2022,6,HHS Region 6,2514.0,10210.0
02/13/2022,02/19/2022,2022,7,HHS Region 6,1795.0,9218.0
02/20/2022,02/26/2022,2022,8,HHS Region 6,1314.0,8419.0
02/27/2022,03/05/2022,2022,9,HHS Region 6,927.0,8337.0
03/06/2022,03/12/2022,2022,10,HHS Region 6,609.0,7582.0
03/13/2022,03/19/2022,2022,11,HHS Region 6,456.0,7557.0
03/20/2022,03/26/2022,2022,12,HHS Region 6,376.0,7429.0
03/27/2022,04/02/2022,2022,13,HHS Region 6,272.0,7126.0
04/03/2022,04/09/2022,2022,14,HHS Region 6,204.0,7117.0
04/10/2022,04/16/2022,2022,15,HHS Region 6,192.0,7133.0
04/17/2022,04/23/2022,2022,16,HHS Region 6,149.0,6814.0
04/24/2022,04/30/2022,2022,17,HHS Region 6,144.0,6845.0
05/01/2022,05/07/2022,2022,18,HHS Region 6,130.0,6979.0
05/08/2022,05/14/2022,2022,19,HHS Region 6,136.0,7075.0
05/15/2022,05/21/2022,2022,20,HHS Region 6,119.0,6948.0
05/22/2022,05/28/2022,2022,21,HHS Region 6,132.0,6743.0
05/29/2022,06/04/2022,2022,22,HHS Region 6,149.0,6866.0
06/05/2022,06/11/2022,2022,23,HHS Region 6,167.0,7113.0
06/12/2022,06/18/2022,2022,24,HHS Region 6,202.0,7105.0
06/19/2022,06/25/2022,2022,25,HHS Region 6,230.0,7115.0
06/26/2022,07/02/2022,2022,26,HHS Region 6,253.0,6988.0
07/03/2022,07/09/2022,2022,27,HHS Region 6,313.0,7326.0
07/10/2022,07/16/2022,2022,28,HHS Region 6,391.0,7399.0
07/17/2022,07/23/2022,2022,29,HHS Region 6,408.0,7548.0
07/24/2022,07/30/2022,2022,30,HHS Region 6,519.0,7442.0
07/31/2022,08/06/2022,2022,31,HHS Region 6,462.0,7134.0
08/07/2022,08/13/2022,2022,32,HHS Region 6,454.0,7470.0
08/14/2022,08/20/2022,2022,33,HHS Region 6,417.0,7097.0
08/21/2022,08/27/2022,2022,34,HHS Region 6,414.0,7142.0
08/28/2022,09/03/2022,2022,35,HHS Region 6,353.0,7065.0
09/04/2022,09/10/2022,2022,36,HHS Region 6,337.0,7103.0
09/11/2022,09/17/2022,2022,37,HHS Region 6,300.0,7238.0
09/18/2022,09/24/2022,2022,38,HHS Region 6,299.0,7190.0
09/25/2022,10/01/2022,2022,39,HHS Region 6,287.0,7017.0
10/02/2022,10/08/2022,2022,40,HHS Region 6,246.0,7161.0
10/09/2022,10/15/2022,2022,41,HHS Region 6,215.0,7197.0
10/16/2022,10/22/2022,2022,42,HHS Region 6,179.0,7240.0
10/23/2022,10/29/2022,2022,43,HHS Region 6,174.0,7071.0
10/30/2022,11/05/2022,2022,44,HHS Region 6,161.0,7145.0
11/06/2022,11/12/2022,2022,45,HHS Region 6,152.0,7296.0
11/13/2022,11/19/2022,2022,46,HHS Region 6,170.0,7384.0
11/20/2022,11/26/2022,2022,47,HHS Region 6,234.0,7940.0
11/27/2022,12/03/2022,2022,48,HHS Region 6,253.0,8181.0
12/04/2022,12/10/2022,2022,49,HHS Region 6,288.0,8027.0
12/11/2022,12/17/2022,2022,50,HHS Region 6,320.0,7841.0
12/18/2022,12/24/2022,2022,51,HHS Region 6,362.0,8120.0
12/25/2022,12/31/2022,2022,52,HHS Region 6,380.0,8577.0
