Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/01/2023,01/07/2023,2023,1,HHS Region 5,629.0,11646.0
01/08/2023,01/14/2023,2023,2,HHS Region 5,544.0,11099.0
01/15/2023,01/21/2023,2023,3,HHS Region 5,479.0,10689.0
01/22/2023,01/28/2023,2023,4,HHS Region 5,399.0,10232.0
01/29/2023,02/04/2023,2023,5,HHS Region 5,388.0,10342.0
02/05/2023,02/11/2023,2023,6,HHS Region 5,339.0,10501.0
02/12/2023,02/18/2023,2023,7,HHS Region 5,282.0,10253.0
02/19/2023,02/25/2023,2023,8,HHS Region 5,352.0,10283.0
02/26/2023,03/04/2023,2023,9,HHS Region 5,370.0,10349.0
03/05/2023,03/11/2023,2023,10,HHS Region 5,344.0,10205.0
03/12/2023,03/18/2023,2023,11,HHS Region 5,349.0,10400.0
03/19/2023,03/25/2023,2023,12,HHS Region 5,314.0,10164.0
03/26/2023,04/01/2023,2023,13,HHS Region 5,299.0,10130.0
04/02/2023,04/08/2023,2023,14,HHS Region 5,281.0,10003.0
04/09/2023,04/15/2023,2023,15,HHS Region 5,243.0,10364.0
04/16/2023,04/22/2023,2023,16,HHS Region 5,251.0,9837.0
04/23/2023,04/29/2023,2023,17,HHS Region 5,192.0,9842.0
04/30/2023,05/06/2023,2023,18,HHS Region 5,166.0,9824.0
05/07/2023,05/13/2023,2023,19,HHS Region 5,154.0,9798.0
05/14/2023,05/20/2023,2023,20,HHS Region 5,147.0,9532.0
05/21/2023,05/27/2023,2023,21,HHS Region 5,116.0,9713.0
05/28/2023,06/03/2023,2023,22,HHS Region 5,121.0,9833.0
06/04/2023,06/10/2023,2023,23,HHS Region 5,92.0,9467.0
06/11/2023,06/17/2023,2023,24,HHS Region 5,82.0,9611.0
06/18/2023,06/24/2023,2023,25,HHS Region 5,86.0,9332.0
06/25/2023,07/01/2023,2023,26,HHS Region 5,90.0,9215.0
07/02/2023,07/08/2023,2023,27,HHS Region 5,64.0,9271.0
07/09/2023,07/15/2023,2023,28,HHS Region 5,63.0,9259.0
07/16/2023,07/22/2023,2023,29,HHS Region 5,64.0,9144.0
07/23/2023,07/29/2023,2023,30,HHS Region 5,50.0,9340.0
07/30/2023,08/05/2023,2023,31,HHS Region 5,61.0,9337.0
08/06/2023,08/12/2023,2023,32,HHS Region 5,69.0,9203.0
08/13/2023,08/19/2023,2023,33,HHS Region 5,106.0,9241.0
08/20/2023,08/26/2023,2023,34,HHS Region 5,107.0,8737.0
08/27/2023,09/02/2023,2023,35,HHS Region 5,136.0,9289.0
09/03/2023,09/09/2023,2023,36,HHS Region 5,140.0,9372.0
09/10/2023,09/16/2023,2023,37,HHS Region 5,195.0,9435.0
09/17/2023,09/23/2023,2023,38,HHS Region 5,201.0,9535.0
09/24/2023,09/30/2023,2023,39,HHS Region 5,207.0,9200.0
10/01/2023,10/07/2023,2023,40,HHS Region 5,211.0,9099.0
10/08/2023,10/14/2023,2023,41,HHS Region 5,177.0,8560.0
10/15/2023,10/21/2023,2023,42,HHS Region 5,167.0,7086.0
10/22/2023,10/28/2023,2023,43,HHS Region 5,93.0,4025.0
