Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/01/2023,01/07/2023,2023,1,HHS Region 1,193.0,3179.0
01/08/2023,01/14/2023,2023,2,HHS Region 1,204.0,3085.0
01/15/2023,01/21/2023,2023,3,HHS Region 1,211.0,3082.0
01/22/2023,01/28/2023,2023,4,HHS Region 1,164.0,2913.0
01/29/2023,02/04/2023,2023,5,HHS Region 1,154.0,2920.0
02/05/2023,02/11/2023,2023,6,HHS Region 1,127.0,2955.0
02/12/2023,02/18/2023,2023,7,HHS Region 1,124.0,2863.0
02/19/2023,02/25/2023,2023,8,HHS Region 1,111.0,2817.0
02/26/2023,03/04/2023,2023,9,HHS Region 1,91.0,2815.0
03/05/2023,03/11/2023,2023,10,HHS Region 1,82.0,2805.0
03/12/2023,03/18/2023,2023,11,HHS Region 1,82.0,2812.0
03/19/2023,03/25/2023,2023,12,HHS Region 1,78.0,2685.0
03/26/2023,04/01/2023,2023,13,HHS Region 1,53.0,2622.0
04/02/2023,04/08/2023,2023,14,HHS Region 1,50.0,2664.0
04/09/2023,04/15/2023,2023,15,HHS Region 1,58.0,2782.0
04/16/2023,04/22/2023,2023,16,HHS Region 1,47.0,2662.0
04/23/2023,04/29/2023,2023,17,HHS Region 1,36.0,2555.0
04/30/2023,05/06/2023,2023,18,HHS Region 1,34.0,2680.0
05/07/2023,05/13/2023,2023,19,HHS Region 1,24.0,2539.0
05/14/2023,05/20/2023,2023,20,HHS Region 1,28.0,2612.0
05/21/2023,05/27/2023,2023,21,HHS Region 1,33.0,2448.0
05/28/2023,06/03/2023,2023,22,HHS Region 1,26.0,2513.0
06/04/2023,06/10/2023,2023,23,HHS Region 1,20.0,2540.0
06/11/2023,06/17/2023,2023,24,HHS Region 1,21.0,2530.0
06/18/2023,06/24/2023,2023,25,HHS Region 1,22.0,2493.0
06/25/2023,07/01/2023,2023,26,HHS Region 1,19.0,2541.0
07/02/2023,07/08/2023,2023,27,HHS Region 1,23.0,2591.0
07/09/2023,07/15/2023,2023,28,HHS Region 1,22.0,2497.0
07/16/2023,07/22/2023,2023,29,HHS Region 1,27.0,2506.0
07/23/2023,07/29/2023,2023,30,HHS Region 1,15.0,2474.0
07/30/2023,08/05/2023,2023,31,HHS Region 1,19.0,2454.0
08/06/2023,08/12/2023,2023,32,HHS Region 1,46.0,2650.0
08/13/2023,08/19/2023,2023,33,HHS Region 1,41.0,2533.0
08/20/2023,08/26/2023,2023,34,HHS Region 1,56.0,2519.0
08/27/2023,09/02/2023,2023,35,HHS Region 1,55.0,2537.0
09/03/2023,09/09/2023,2023,36,HHS Region 1,72.0,2691.0
09/10/2023,09/16/2023,2023,37,HHS Region 1,66.0,2472.0
09/17/2023,09/23/2023,2023,38,HHS Region 1,71.0,2576.0
09/24/2023,09/30/2023,2023,39,HHS Region 1,65.0,2627.0
10/01/2023,10/07/2023,2023,40,HHS Region 1,81.0,2716.0
10/08/2023,10/14/2023,2023,41,HHS Region 1,66.0,2569.0
10/15/2023,10/21/2023,2023,42,HHS Region 1,68.0,2424.0
10/22/2023,10/28/2023,2023,43,HHS Region 1,55.0,1680.0
