Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/01/2023,01/07/2023,2023,1,HHS Region 6,441.0,8435.0
01/08/2023,01/14/2023,2023,2,HHS Region 6,475.0,8093.0
01/15/2023,01/21/2023,2023,3,HHS Region 6,389.0,7996.0
01/22/2023,01/28/2023,2023,4,HHS Region 6,377.0,7680.0
01/29/2023,02/04/2023,2023,5,HHS Region 6,307.0,7672.0
02/05/2023,02/11/2023,2023,6,HHS Region 6,297.0,7642.0
02/12/2023,02/18/2023,2023,7,HHS Region 6,245.0,7646.0
02/19/2023,02/25/2023,2023,8,HHS Region 6,244.0,7811.0
02/26/2023,03/04/2023,2023,9,HHS Region 6,207.0,7420.0
03/05/2023,03/11/2023,2023,10,HHS Region 6,196.0,7380.0
03/12/2023,03/18/2023,2023,11,HHS Region 6,191.0,7304.0
03/19/2023,03/25/2023,2023,12,HHS Region 6,174.0,7477.0
03/26/2023,04/01/2023,2023,13,HHS Region 6,142.0,7413.0
04/02/2023,04/08/2023,2023,14,HHS Region 6,129.0,7184.0
04/09/2023,04/15/2023,2023,15,HHS Region 6,140.0,7232.0
04/16/2023,04/22/2023,2023,16,HHS Region 6,143.0,7012.0
04/23/2023,04/29/2023,2023,17,HHS Region 6,111.0,7047.0
04/30/2023,05/06/2023,2023,18,HHS Region 6,100.0,7332.0
05/07/2023,05/13/2023,2023,19,HHS Region 6,93.0,7006.0
05/14/2023,05/20/2023,2023,20,HHS Region 6,108.0,6832.0
05/21/2023,05/27/2023,2023,21,HHS Region 6,65.0,6800.0
05/28/2023,06/03/2023,2023,22,HHS Region 6,67.0,7092.0
06/04/2023,06/10/2023,2023,23,HHS Region 6,72.0,6938.0
06/11/2023,06/17/2023,2023,24,HHS Region 6,61.0,6909.0
06/18/2023,06/24/2023,2023,25,HHS Region 6,56.0,7038.0
06/25/2023,07/01/2023,2023,26,HHS Region 6,50.0,7073.0
07/02/2023,07/08/2023,2023,27,HHS Region 6,41.0,6909.0
07/09/2023,07/15/2023,2023,28,HHS Region 6,47.0,6966.0
07/16/2023,07/22/2023,2023,29,HHS Region 6,70.0,7041.0
07/23/2023,07/29/2023,2023,30,HHS Region 6,58.0,6773.0
07/30/2023,08/05/2023,2023,31,HHS Region 6,77.0,6936.0
08/06/2023,08/12/2023,2023,32,HHS Region 6,95.0,7111.0
08/13/2023,08/19/2023,2023,33,HHS Region 6,118.0,6855.0
08/20/2023,08/26/2023,2023,34,HHS Region 6,112.0,6927.0
08/27/2023,09/02/2023,2023,35,HHS Region 6,146.0,6679.0
09/03/2023,09/09/2023,2023,36,HHS Region 6,149.0,7005.0
09/10/2023,09/16/2023,2023,37,HHS Region 6,158.0,6729.0
09/17/2023,09/23/2023,2023,38,HHS Region 6,161.0,6732.0
09/24/2023,09/30/2023,2023,39,HHS Region 6,122.0,6419.0
10/01/2023,10/07/2023,2023,40,HHS Region 6,131.0,6138.0
10/08/2023,10/14/2023,2023,41,HHS Region 6,101.0,5374.0
10/15/2023,10/21/2023,2023,42,HHS Region 6,80.0,4203.0
10/22/2023,10/28/2023,2023,43,HHS Region 6,39.0,1773.0
